Ingredient,CP,Energy,Fiber,Cost
Maize,9.0,3350,2.5,450
Soybean Meal,45.0,2230,6.0,950
Groundnut Cake,45.0,2150,11.0,850
Wheat Offal,15.0,2650,9.5,320
Rice Bran,13.0,2500,11.0,280
Palm Kernel Cake,18.5,2100,14.5,380
Brewers Dried Grain,24.0,2000,21.0,300
Fishmeal,65.0,2800,1.0,1800
Blood Meal,80.0,2650,1.5,1500
Bone Meal,24.0,1200,2.0,650
Cassava Meal,2.5,3200,3.5,200
Guinea Grass (Fresh),8.5,2200,28.0,80
Elephant Grass (Fresh),10.0,2300,30.0,70
Pawpaw Leaves (Fresh),24.0,2100,18.0,50
Sweet Potato Vines,14.0,2400,22.0,60
Groundnut Haulms,11.5,2150,26.0,90
Cowpea Haulms,15.0,2200,24.0,100
Moringa Leaves,27.0,2350,12.0,180
Limestone,0.0,0,0.0,45
Di-Calcium Phosphate,0.0,0,0.0,580
Salt,0.0,0,0.0,35
Lysine,98.0,0,0.0,2200
Methionine,99.0,0,0.0,2800
Premix (Rabbit),0.0,0,0.0,4500
Vegetable Oil,0.0,8900,0.0,750
